k,station_id,old_active,new_active,battery_at_swap
19250,0,cf5,cf1,52.24
19411,3,cf4,cf8,72.76
19429,1,cf6,cf2,78.16
19533,3,cf8,cf4,83.57
19551,1,cf2,cf6,87.07
19562,0,cf1,cf5,72.04
19676,3,cf4,cf8,80.66
19694,1,cf6,cf2,84.58
19715,0,cf5,cf1,86.47
19791,2,cf7,cf3,29.06
19968,3,cf8,cf4,60.45
