k,b_k,G_tilde,eta_k,r_drift,gamma,x_before_0,x_after_0,a_0,x_before_1,x_after_1,a_1,x_before_2,x_after_2,a_2,x_before_3,x_after_3,a_3
775,0,8.456582,0.070993,0.007301,0.00563436,0.708422,0.705605,1,0.972955,0.969574,1,0.766737,0.764484,1,0.890130,0.885904,1
776,0,8.836035,0.070993,0.007301,0.00563436,0.705605,0.702787,1,0.969574,0.966194,1,0.764484,0.762230,1,0.885904,0.881678,1
777,0,9.213985,0.070993,0.007301,0.00563436,0.702787,0.699970,0,0.966194,0.962813,1,0.762230,0.759976,1,0.881678,0.877453,1
778,1,-17.413192,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.962813,0.971265,1,0.759976,0.765611,1,0.877453,0.887313,1
779,1,-16.999351,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.971265,0.979716,1,0.765611,0.771245,1,0.887313,0.897173,1
780,1,-16.582565,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.979716,0.988168,1,0.771245,0.776879,1,0.897173,0.907033,1
781,1,-16.162836,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.988168,0.996619,1,0.776879,0.782514,1,0.907033,0.916893,1
782,1,-15.740163,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.996619,1.000000,1,0.782514,0.788148,1,0.916893,0.926753,1
783,1,-15.315762,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.788148,0.793782,1,0.926753,0.936613,1
784,1,-14.889838,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.793782,0.799417,1,0.936613,0.946474,1
785,1,-14.461984,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.799417,0.805051,1,0.946474,0.956334,1
786,1,-14.032200,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.805051,0.810685,1,0.956334,0.966194,1
787,1,-13.600486,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.810685,0.816320,1,0.966194,0.976054,1
788,1,-13.166843,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.816320,0.821954,1,0.976054,0.985914,1
789,1,-12.731270,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.821954,0.827589,1,0.985914,0.995774,1
790,1,-12.293767,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.827589,0.833223,1,0.995774,1.000000,1
791,1,-11.856024,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.833223,0.838857,1,1.000000,1.000000,1
792,1,-11.418465,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.838857,0.844492,1,1.000000,1.000000,1
793,1,-10.980455,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.844492,0.850126,1,1.000000,1.000000,1
794,1,-10.541994,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.850126,0.855760,1,1.000000,1.000000,1
795,1,-10.103082,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.855760,0.861395,1,1.000000,1.000000,1
796,1,-9.663720,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.861395,0.867029,1,1.000000,1.000000,1
797,1,-9.223907,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.867029,0.872663,1,1.000000,1.000000,1
798,1,-8.783643,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.872663,0.878298,1,1.000000,1.000000,1
799,1,-8.342929,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.878298,0.883932,1,1.000000,1.000000,1
800,1,-7.901763,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.883932,0.889567,1,1.000000,1.000000,1
801,1,-7.460147,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.889567,0.895201,1,1.000000,1.000000,1
802,1,-7.018080,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.895201,0.900835,1,1.000000,1.000000,1
803,1,-6.575563,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.900835,0.906470,1,1.000000,1.000000,1
804,1,-6.132595,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.906470,0.912104,1,1.000000,1.000000,1
805,1,-5.689175,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.912104,0.917738,1,1.000000,1.000000,1
806,1,-5.245306,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.917738,0.923373,1,1.000000,1.000000,1
807,1,-4.800985,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.923373,0.929007,1,1.000000,1.000000,1
808,1,-4.356214,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.929007,0.934641,1,1.000000,1.000000,1
809,1,-3.910992,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.934641,0.940276,1,1.000000,1.000000,1
810,1,-3.465319,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.940276,0.945910,1,1.000000,1.000000,1
811,1,-3.019195,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.945910,0.951544,1,1.000000,1.000000,1
812,1,-2.572621,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.951544,0.957179,1,1.000000,1.000000,1
813,1,-2.125596,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.957179,0.962813,1,1.000000,1.000000,1
814,1,-1.678120,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.962813,0.968448,1,1.000000,1.000000,1
815,1,-1.230194,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.968448,0.974082,1,1.000000,1.000000,1
816,1,-0.781816,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.974082,0.979716,1,1.000000,1.000000,1
817,1,-0.332988,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.979716,0.985351,1,1.000000,1.000000,1
818,0,0.116291,0.070993,0.007301,0.00563436,1.000000,0.997183,1,1.000000,0.996619,1,0.985351,0.983097,1,1.000000,0.995774,1
