condition,avg_velocity,min_dist_bottleneck,ambulance_velocity,traffic_velocity
Blocked_Ambulance_0.4,0.9586853508851864,0.2014197412756549,1.0178008374401697,0.9389801887001922
Blocked_Ambulance_0.6,0.9562918975783188,0.2213452743921801,1.0178183700573074,0.935783073418656
Blocked_Ambulance_Cramped,0.9555097352323388,0.2213504325757698,1.0178188432804225,0.9347400325496442
Blocked_Ambulance_Nominal,0.9555097086955824,0.2213469106843199,1.0178187854290448,0.9347400164510946
High,1.0256410203444433,0.2666671213317099,,
Nominal,1.0256409438536584,0.2666654229393825,,
Very_Cramped,1.02644611874134,0.1999999900004189,,
Very_Cramped_0.4,1.0334297233038174,0.1999999900006528,,
Very_Cramped_0.6,1.0287340200520407,0.1999999900019553,,
