drone_id,t,x,y,z,yaw
cf1,0.0000,-1.5000,0.0000,0.5000,0.0000
cf1,0.1000,-1.4551,-0.0000,0.5000,0.0000
cf1,0.2000,-1.3953,-0.0000,0.5000,0.0000
cf1,0.3000,-1.3205,-0.0000,0.4968,0.0000
cf1,0.4000,-1.2310,-0.0000,0.4882,0.0000
cf1,0.5000,-1.1271,-0.0000,0.4737,0.0000
cf1,0.6000,-1.0089,-0.0000,0.4540,0.0000
cf1,0.7000,-0.8804,-0.0000,0.4323,0.0000
cf1,0.8000,-0.7540,-0.0000,0.4132,0.0000
cf1,0.9000,-0.6420,-0.0000,0.4004,0.0000
cf1,1.0000,-0.5444,-0.0000,0.3941,0.0000
cf1,1.1000,-0.4600,-0.0000,0.3927,0.0000
cf1,1.2000,-0.3794,-0.0000,0.3944,0.0000
cf1,1.3000,-0.2986,-0.0000,0.3983,0.0000
cf1,1.4000,-0.2164,-0.0000,0.4035,0.0000
cf1,1.5000,-0.1324,-0.0000,0.4095,0.0000
cf1,1.6000,-0.0470,-0.0000,0.4159,0.0000
cf1,1.7000,0.0395,-0.0000,0.4222,0.0000
cf1,1.8000,0.1268,-0.0000,0.4283,0.0000
cf1,1.9000,0.2146,-0.0000,0.4340,0.0000
cf1,2.0000,0.3028,-0.0000,0.4393,0.0000
cf1,2.1000,0.3913,-0.0000,0.4442,0.0000
cf1,2.2000,0.4800,-0.0000,0.4487,0.0000
cf1,2.3000,0.5687,-0.0000,0.4528,0.0000
cf1,2.4000,0.6576,-0.0000,0.4565,0.0000
cf1,2.5000,0.7464,-0.0000,0.4598,0.0000
cf1,2.6000,0.8353,-0.0000,0.4629,0.0000
cf1,2.7000,0.9240,-0.0000,0.4656,0.0000
cf1,2.8000,1.0125,-0.0000,0.4680,0.0000
cf1,2.9000,1.1007,-0.0000,0.4702,0.0000
cf1,3.0000,1.1884,-0.0000,0.4721,0.0000
cf1,3.1000,1.2753,-0.0000,0.4738,0.0000
cf1,3.2000,1.3612,-0.0000,0.4752,0.0000
cf1,3.3000,1.4454,-0.0000,0.4764,0.0000
cf1,3.4000,1.5274,-0.0000,0.4774,0.0000
cf1,3.5000,1.6064,-0.0000,0.4782,0.0000
cf1,3.6000,1.6813,-0.0000,0.4787,0.0000
cf1,3.7000,1.7507,-0.0000,0.4791,0.0000
cf1,3.8000,1.8132,-0.0000,0.4792,0.0000
cf1,3.9000,1.8674,-0.0000,0.4793,0.0000
cf2,0.0000,-2.0000,-0.0000,0.5000,0.0000
cf2,0.1000,-1.8462,0.0000,0.5000,0.0000
cf2,0.2000,-1.7073,-0.0000,0.5000,0.0000
cf2,0.3000,-1.5786,-0.0000,0.5047,0.0000
cf2,0.4000,-1.4528,-0.0000,0.5143,0.0000
cf2,0.5000,-1.3251,-0.0000,0.5276,0.0000
cf2,0.6000,-1.1876,-0.0000,0.5438,0.0000
cf2,0.7000,-1.0351,-0.0000,0.5614,0.0000
cf2,0.8000,-0.8734,-0.0000,0.5775,0.0000
cf2,0.9000,-0.7087,-0.0000,0.5889,0.0000
cf2,1.0000,-0.5359,-0.0000,0.5939,0.0000
cf2,1.1000,-0.3640,-0.0000,0.5921,0.0000
cf2,1.2000,-0.1945,-0.0000,0.5858,0.0000
cf2,1.3000,-0.0280,-0.0000,0.5772,0.0000
cf2,1.4000,0.1359,-0.0000,0.5678,0.0000
cf2,1.5000,0.2977,-0.0000,0.5585,0.0000
cf2,1.6000,0.4581,-0.0000,0.5499,0.0000
cf2,1.7000,0.6175,-0.0000,0.5423,0.0000
cf2,1.8000,0.7766,0.0000,0.5355,0.0000
cf2,1.9000,0.9352,0.0000,0.5297,0.0000
cf2,2.0000,1.0931,0.0000,0.5247,0.0000
cf2,2.1000,1.2484,0.0000,0.5205,0.0000
cf2,2.2000,1.3962,0.0000,0.5172,0.0000
cf2,2.3000,1.5289,0.0000,0.5148,0.0000
cf2,2.4000,1.6467,0.0000,0.5130,0.0000
cf2,2.5000,1.7495,0.0000,0.5118,0.0000
cf2,2.6000,1.8373,0.0000,0.5110,0.0000
cf2,2.7000,1.9101,0.0000,0.5105,0.0000
cf2,2.8000,1.9678,0.0000,0.5102,0.0000
cf2,2.9000,2.0106,0.0000,0.5100,0.0000
cf2,3.0000,2.0384,0.0000,0.5100,0.0000
cf2,3.1000,2.0512,0.0000,0.5099,0.0000
cf2,3.2000,2.0512,0.0000,0.5099,0.0000
cf2,3.3000,2.0512,0.0000,0.5099,0.0000
cf2,3.4000,2.0512,0.0000,0.5099,0.0000
cf2,3.5000,2.0512,0.0000,0.5099,0.0000
cf2,3.6000,2.0515,0.0000,0.5099,0.0000
cf2,3.7000,2.0542,0.0000,0.5099,0.0000
cf2,3.8000,2.0594,0.0000,0.5099,0.0000
cf2,3.9000,2.0651,0.0000,0.5099,0.0000
cf3,0.0000,-1.8000,0.3000,0.5000,0.0000
cf3,0.1000,-1.7026,0.3000,0.5000,0.0000
cf3,0.2000,-1.6064,0.3000,0.5000,0.0000
cf3,0.3000,-1.5105,0.2986,0.5000,0.0000
cf3,0.4000,-1.4144,0.2958,0.5000,0.0000
cf3,0.5000,-1.3179,0.2916,0.5000,0.0000
cf3,0.6000,-1.2210,0.2862,0.5000,0.0000
cf3,0.7000,-1.1238,0.2797,0.5000,0.0000
cf3,0.8000,-1.0262,0.2725,0.5000,0.0000
cf3,0.9000,-0.9285,0.2646,0.5000,0.0000
cf3,1.0000,-0.8307,0.2562,0.5000,0.0000
cf3,1.1000,-0.7328,0.2477,0.5000,0.0000
cf3,1.2000,-0.6350,0.2392,0.5000,0.0000
cf3,1.3000,-0.5375,0.2309,0.5000,0.0000
cf3,1.4000,-0.4403,0.2232,0.5000,0.0000
cf3,1.5000,-0.3437,0.2162,0.5000,0.0000
cf3,1.6000,-0.2477,0.2103,0.5000,0.0000
cf3,1.7000,-0.1522,0.2057,0.5000,0.0000
cf3,1.8000,-0.0563,0.2026,0.5000,0.0000
cf3,1.9000,0.0419,0.2015,0.5000,0.0000
cf3,2.0000,0.1402,0.2021,0.5000,0.0000
cf3,2.1000,0.2388,0.2044,0.5000,0.0000
cf3,2.2000,0.3377,0.2079,0.5000,0.0000
cf3,2.3000,0.4366,0.2125,0.5000,0.0000
cf3,2.4000,0.5356,0.2180,0.5000,0.0000
cf3,2.5000,0.6344,0.2240,0.5000,0.0000
cf3,2.6000,0.7331,0.2305,0.5000,0.0000
cf3,2.7000,0.8315,0.2373,0.5000,0.0000
cf3,2.8000,0.9296,0.2441,0.5000,0.0000
cf3,2.9000,1.0276,0.2509,0.5000,0.0000
cf3,3.0000,1.1253,0.2576,0.5000,0.0000
cf3,3.1000,1.2229,0.2641,0.5000,0.0000
cf3,3.2000,1.3204,0.2702,0.5000,0.0000
cf3,3.3000,1.4177,0.2759,0.5000,0.0000
cf3,3.4000,1.5149,0.2812,0.5000,0.0000
cf3,3.5000,1.6120,0.2859,0.5000,0.0000
cf3,3.6000,1.7091,0.2899,0.5000,0.0000
cf3,3.7000,1.8061,0.2933,0.5000,0.0000
cf3,3.8000,1.9030,0.2959,0.5000,0.0000
cf3,3.9000,2.0001,0.2978,0.5000,0.0000
cf4,0.0000,-1.8000,-0.3000,0.5000,0.0000
cf4,0.1000,-1.7026,-0.3000,0.5000,0.0000
cf4,0.2000,-1.6064,-0.3000,0.5000,0.0000
cf4,0.3000,-1.5105,-0.2986,0.5000,0.0000
cf4,0.4000,-1.4144,-0.2958,0.5000,0.0000
cf4,0.5000,-1.3179,-0.2916,0.5000,0.0000
cf4,0.6000,-1.2210,-0.2862,0.5000,0.0000
cf4,0.7000,-1.1238,-0.2797,0.5000,0.0000
cf4,0.8000,-1.0262,-0.2725,0.5000,0.0000
cf4,0.9000,-0.9285,-0.2646,0.5000,0.0000
cf4,1.0000,-0.8307,-0.2562,0.5000,0.0000
cf4,1.1000,-0.7328,-0.2477,0.5000,0.0000
cf4,1.2000,-0.6350,-0.2392,0.5000,0.0000
