drone_id,t,x,y,z,yaw
cf1,0.0000,-2.0000,-0.4000,0.5000,0.0000
cf1,0.1000,-1.8974,-0.4000,0.5000,0.0000
cf1,0.2000,-1.8023,-0.4000,0.5000,0.0000
cf1,0.3000,-1.7092,-0.3972,0.4987,0.0000
cf1,0.4000,-1.6155,-0.3911,0.4959,0.0000
cf1,0.5000,-1.5205,-0.3819,0.4915,0.0000
cf1,0.6000,-1.4239,-0.3697,0.4857,0.0000
cf1,0.7000,-1.3263,-0.3549,0.4787,0.0000
cf1,0.8000,-1.2278,-0.3378,0.4708,0.0000
cf1,0.9000,-1.1290,-0.3187,0.4621,0.0000
cf1,1.0000,-1.0298,-0.2981,0.4528,0.0000
cf1,1.1000,-0.9302,-0.2764,0.4430,0.0000
cf1,1.2000,-0.8298,-0.2538,0.4327,0.0000
cf1,1.3000,-0.7273,-0.2306,0.4220,0.0000
cf1,1.4000,-0.6212,-0.2070,0.4110,0.0000
cf1,1.5000,-0.5121,-0.1838,0.4000,0.0000
cf1,1.6000,-0.4011,-0.1622,0.3897,0.0000
cf1,1.7000,-0.2897,-0.1434,0.3808,0.0000
cf1,1.8000,-0.1800,-0.1287,0.3740,0.0000
cf1,1.9000,-0.0745,-0.1191,0.3698,0.0000
cf1,2.0000,0.0255,-0.1152,0.3684,0.0000
cf1,2.1000,0.1188,-0.1167,0.3697,0.0000
cf1,2.2000,0.2130,-0.1230,0.3730,0.0000
cf1,2.3000,0.3102,-0.1335,0.3779,0.0000
cf1,2.4000,0.4102,-0.1476,0.3841,0.0000
cf1,2.5000,0.5127,-0.1647,0.3911,0.0000
cf1,2.6000,0.6176,-0.1842,0.3988,0.0000
cf1,2.7000,0.7245,-0.2052,0.4073,0.0000
cf1,2.8000,0.8330,-0.2272,0.4163,0.0000
cf1,2.9000,0.9433,-0.2496,0.4259,0.0000
cf1,3.0000,1.0563,-0.2719,0.4360,0.0000
cf1,3.1000,1.1687,-0.2933,0.4462,0.0000
cf1,3.2000,1.2793,-0.3131,0.4559,0.0000
cf1,3.3000,1.3875,-0.3312,0.4651,0.0000
cf1,3.4000,1.4935,-0.3472,0.4734,0.0000
cf1,3.5000,1.5975,-0.3612,0.4806,0.0000
cf1,3.6000,1.6998,-0.3730,0.4867,0.0000
cf1,3.7000,1.8006,-0.3826,0.4913,0.0000
cf1,3.8000,1.9006,-0.3899,0.4944,0.0000
cf1,3.9000,2.0008,-0.3950,0.4958,0.0000
cf2,0.0000,-2.0000,-0.1333,0.5000,0.0000
cf2,0.1000,-1.8974,-0.1333,0.5000,0.0000
cf2,0.2000,-1.7947,-0.1333,0.5000,0.0000
cf2,0.3000,-1.6917,-0.1329,0.5007,0.0000
cf2,0.4000,-1.5883,-0.1321,0.5022,0.0000
cf2,0.5000,-1.4843,-0.1308,0.5046,0.0000
cf2,0.6000,-1.3797,-0.1292,0.5077,0.0000
cf2,0.7000,-1.2742,-0.1273,0.5113,0.0000
cf2,0.8000,-1.1677,-0.1251,0.5154,0.0000
cf2,0.9000,-1.0598,-0.1227,0.5198,0.0000
cf2,1.0000,-0.9506,-0.1202,0.5246,0.0000
cf2,1.1000,-0.8398,-0.1175,0.5294,0.0000
cf2,1.2000,-0.7280,-0.1149,0.5343,0.0000
cf2,1.3000,-0.6163,-0.1123,0.5389,0.0000
cf2,1.4000,-0.5066,-0.1099,0.5431,0.0000
cf2,1.5000,-0.3992,-0.1078,0.5465,0.0000
cf2,1.6000,-0.2943,-0.1060,0.5492,0.0000
cf2,1.7000,-0.1923,-0.1045,0.5511,0.0000
cf2,1.8000,-0.0929,-0.1033,0.5522,0.0000
cf2,1.9000,0.0049,-0.1023,0.5526,0.0000
cf2,2.0000,0.1027,-0.1017,0.5524,0.0000
cf2,2.1000,0.2018,-0.1013,0.5519,0.0000
cf2,2.2000,0.3032,-0.1011,0.5511,0.0000
cf2,2.3000,0.4074,-0.1012,0.5501,0.0000
cf2,2.4000,0.5137,-0.1017,0.5489,0.0000
cf2,2.5000,0.6208,-0.1024,0.5474,0.0000
cf2,2.6000,0.7271,-0.1035,0.5455,0.0000
cf2,2.7000,0.8317,-0.1049,0.5430,0.0000
cf2,2.8000,0.9336,-0.1067,0.5401,0.0000
cf2,2.9000,1.0321,-0.1087,0.5367,0.0000
cf2,3.0000,1.1258,-0.1109,0.5329,0.0000
cf2,3.1000,1.2186,-0.1134,0.5288,0.0000
cf2,3.2000,1.3122,-0.1159,0.5246,0.0000
cf2,3.3000,1.4073,-0.1186,0.5202,0.0000
cf2,3.4000,1.5038,-0.1212,0.5159,0.0000
cf2,3.5000,1.6014,-0.1238,0.5119,0.0000
cf2,3.6000,1.7001,-0.1261,0.5084,0.0000
cf2,3.7000,1.7994,-0.1282,0.5056,0.0000
cf2,3.8000,1.8994,-0.1298,0.5037,0.0000
cf2,3.9000,2.0003,-0.1310,0.5028,0.0000
cf3,0.0000,-2.0000,0.1333,0.5000,0.0000
cf3,0.1000,-1.8974,0.1333,0.5000,0.0000
cf3,0.2000,-1.7949,0.1333,0.5000,0.0000
cf3,0.3000,-1.6921,0.1329,0.5008,0.0000
cf3,0.4000,-1.5889,0.1321,0.5026,0.0000
cf3,0.5000,-1.4852,0.1308,0.5054,0.0000
cf3,0.6000,-1.3809,0.1291,0.5090,0.0000
cf3,0.7000,-1.2758,0.1272,0.5132,0.0000
cf3,0.8000,-1.1697,0.1250,0.5180,0.0000
cf3,0.9000,-1.0626,0.1226,0.5231,0.0000
cf3,1.0000,-0.9543,0.1201,0.5285,0.0000
cf3,1.1000,-0.8449,0.1175,0.5340,0.0000
cf3,1.2000,-0.7349,0.1150,0.5394,0.0000
cf3,1.3000,-0.6257,0.1126,0.5445,0.0000
cf3,1.4000,-0.5196,0.1105,0.5488,0.0000
cf3,1.5000,-0.4170,0.1086,0.5524,0.0000
cf3,1.6000,-0.3186,0.1071,0.5550,0.0000
cf3,1.7000,-0.2254,0.1060,0.5568,0.0000
cf3,1.8000,-0.1340,0.1051,0.5581,0.0000
cf3,1.9000,-0.0429,0.1045,0.5590,0.0000
cf3,2.0000,0.0484,0.1041,0.5597,0.0000
cf3,2.1000,0.1399,0.1040,0.5601,0.0000
cf3,2.2000,0.2317,0.1042,0.5601,0.0000
cf3,2.3000,0.3247,0.1046,0.5596,0.0000
cf3,2.4000,0.4211,0.1054,0.5583,0.0000
cf3,2.5000,0.5214,0.1064,0.5560,0.0000
cf3,2.6000,0.6245,0.1078,0.5528,0.0000
cf3,2.7000,0.7300,0.1095,0.5487,0.0000
cf3,2.8000,0.8374,0.1115,0.5441,0.0000
cf3,2.9000,0.9466,0.1137,0.5390,0.0000
cf3,3.0000,1.0557,0.1160,0.5337,0.0000
cf3,3.1000,1.1640,0.1184,0.5284,0.0000
cf3,3.2000,1.2712,0.1207,0.5234,0.0000
cf3,3.3000,1.3774,0.1230,0.5187,0.0000
cf3,3.4000,1.4826,0.1251,0.5143,0.0000
cf3,3.5000,1.5871,0.1271,0.5105,0.0000
cf3,3.6000,1.6910,0.1288,0.5072,0.0000
cf3,3.7000,1.7943,0.1302,0.5047,0.0000
cf3,3.8000,1.8973,0.1313,0.5030,0.0000
cf3,3.9000,2.0000,0.1321,0.5022,0.0000
cf4,0.0000,-2.0000,0.4000,0.5000,0.0000
cf4,0.1000,-1.8974,0.4000,0.5000,0.0000
cf4,0.2000,-1.8029,0.4000,0.5000,0.0000
cf4,0.3000,-1.7105,0.3971,0.4986,0.0000
cf4,0.4000,-1.6173,0.3909,0.4954,0.0000
cf4,0.5000,-1.5225,0.3815,0.4905,0.0000
cf4,0.6000,-1.4258,0.3691,0.4839,0.0000
cf4,0.7000,-1.3278,0.3539,0.4760,0.0000
cf4,0.8000,-1.2287,0.3363,0.4670,0.0000
cf4,0.9000,-1.1288,0.3168,0.4571,0.0000
cf4,1.0000,-1.0285,0.2956,0.4465,0.0000
cf4,1.1000,-0.9276,0.2734,0.4353,0.0000
cf4,1.2000,-0.8257,0.2504,0.4236,0.0000
cf4,1.3000,-0.7220,0.2270,0.4116,0.0000
cf4,1.4000,-0.6148,0.2034,0.3995,0.0000
cf4,1.5000,-0.5050,0.1806,0.3878,0.0000
cf4,1.6000,-0.3933,0.1597,0.3771,0.0000
cf4,1.7000,-0.2808,0.1419,0.3680,0.0000
cf4,1.8000,-0.1713,0.1287,0.3613,0.0000
cf4,1.9000,-0.0655,0.1209,0.3574,0.0000
cf4,2.0000,0.0417,0.1189,0.3565,0.0000
cf4,2.1000,0.1490,0.1228,0.3586,0.0000
cf4,2.2000,0.2602,0.1320,0.3633,0.0000
cf4,2.3000,0.3747,0.1459,0.3704,0.0000
cf4,2.4000,0.4893,0.1631,0.3793,0.0000
cf4,2.5000,0.6020,0.1824,0.3895,0.0000
cf4,2.6000,0.7123,0.2029,0.4002,0.0000
cf4,2.7000,0.8195,0.2237,0.4111,0.0000
cf4,2.8000,0.9235,0.2443,0.4218,0.0000
cf4,2.9000,1.0240,0.2641,0.4320,0.0000
cf4,3.0000,1.1229,0.2831,0.4417,0.0000
cf4,3.1000,1.2211,0.3013,0.4509,0.0000
cf4,3.2000,1.3190,0.3185,0.4596,0.0000
cf4,3.3000,1.4167,0.3345,0.4677,0.0000
cf4,3.4000,1.5143,0.3490,0.4750,0.0000
cf4,3.5000,1.6117,0.3620,0.4816,0.0000
