condition,ri_multiplier,min_distance,jerk,avg_time_to_goal,max_deviation
Asymmetric,"[10.0, 0.1, 1.0, 1.0]",0.1999999900001356,2.76864466333814,3.1,0.126482272225324
Baseline,1.0,0.1999999900000493,2.0942776617454184,3.1500000000000004,0.151283629629919
High,10.0,0.1999999900000421,1.0219473843256366,3.1,0.1012903098352515
Low,0.1,0.1999999900000883,2.9869420618027256,3.1500000000000004,0.1509917466687929
