drone_id,t,x,y,z,yaw
cf3,1.3000,-0.0782,0.1793,0.5228,0.0000
cf3,1.4000,-0.0816,0.1647,0.5235,0.0000
cf3,1.5000,-0.0816,0.1647,0.5235,0.0000
cf3,1.6000,-0.0816,0.1647,0.5235,0.0000
cf3,1.7000,-0.0817,0.1646,0.5235,0.0000
cf3,1.8000,-0.0819,0.1626,0.5235,0.0000
cf3,1.9000,-0.0828,0.1514,0.5239,0.0000
cf3,2.0000,-0.0842,0.1252,0.5250,0.0000
cf3,2.1000,-0.0849,0.0916,0.5265,0.0000
cf3,2.2000,-0.0843,0.0502,0.5282,0.0000
cf3,2.3000,-0.0820,-0.0029,0.5291,0.0000
cf3,2.4000,-0.0794,-0.0410,0.5288,0.0000
cf3,2.5000,-0.0761,-0.0766,0.5278,0.0000
cf3,2.6000,-0.0720,-0.1139,0.5262,0.0000
cf3,2.7000,-0.0672,-0.1526,0.5243,0.0000
cf3,2.8000,-0.0620,-0.1917,0.5222,0.0000
cf3,2.9000,-0.0565,-0.2305,0.5201,0.0000
cf3,3.0000,-0.0510,-0.2684,0.5180,0.0000
cf3,3.1000,-0.0457,-0.3051,0.5160,0.0000
cf3,3.2000,-0.0408,-0.3402,0.5142,0.0000
cf3,3.3000,-0.0363,-0.3734,0.5126,0.0000
cf3,3.4000,-0.0325,-0.4043,0.5113,0.0000
cf3,3.5000,-0.0293,-0.4322,0.5102,0.0000
cf3,3.6000,-0.0270,-0.4565,0.5095,0.0000
cf3,3.7000,-0.0254,-0.4763,0.5090,0.0000
cf3,3.8000,-0.0244,-0.4909,0.5087,0.0000
cf3,3.9000,-0.0239,-0.5023,0.5086,0.0000
cf4,0.0000,0.0000,-0.5000,0.5000,0.0000
cf4,0.1000,0.0000,-0.4744,0.5000,0.0000
cf4,0.2000,0.0000,-0.4637,0.5000,0.0000
cf4,0.3000,-0.0000,-0.4637,0.5000,0.0000
cf4,0.4000,-0.0000,-0.4637,0.5000,0.0000
cf4,0.5000,0.0008,-0.4555,0.5002,0.0000
cf4,0.6000,0.0030,-0.4375,0.5007,0.0000
cf4,0.7000,0.0071,-0.4109,0.5018,0.0000
cf4,0.8000,0.0131,-0.3771,0.5035,0.0000
cf4,0.9000,0.0211,-0.3378,0.5059,0.0000
cf4,1.0000,0.0306,-0.2943,0.5088,0.0000
cf4,1.1000,0.0414,-0.2478,0.5120,0.0000
cf4,1.2000,0.0529,-0.1997,0.5155,0.0000
cf4,1.3000,0.0644,-0.1515,0.5188,0.0000
cf4,1.4000,0.0752,-0.1049,0.5216,0.0000
cf4,1.5000,0.0847,-0.0614,0.5237,0.0000
