drone_id,t,u1,u2,u3
cf3,2.9000,-0.0073,-0.0272,0.0682
cf3,3.0000,-0.0160,-0.0255,0.0600
cf3,3.1000,-0.0234,-0.0232,0.0502
cf3,3.2000,-0.0284,-0.0201,0.0387
cf3,3.3000,-0.0303,-0.0162,0.0251
cf3,3.4000,-0.0282,-0.0110,0.0088
cf3,3.5000,-0.0213,-0.0035,-0.0112
cf3,3.6000,-0.0093,0.0079,-0.0363
cf3,3.7000,0.0083,0.0267,-0.0687
cf3,3.8000,0.0313,0.0587,-0.1111
cf3,3.9000,-0.0000,-0.0000,-0.0000
cf4,0.0000,-0.1202,-0.0727,-0.0807
cf4,0.1000,-0.0754,-0.0403,-0.0635
cf4,0.2000,-0.0370,-0.0220,-0.0518
cf4,0.3000,-0.0056,-0.0109,-0.0416
cf4,0.4000,0.0187,-0.0031,-0.0307
cf4,0.5000,0.0361,0.0032,-0.0183
cf4,0.6000,0.0468,0.0088,-0.0045
cf4,0.7000,0.0513,0.0140,0.0101
cf4,0.8000,0.0503,0.0187,0.0245
cf4,0.9000,0.0446,0.0229,0.0379
cf4,1.0000,0.0351,0.0262,0.0495
cf4,1.1000,0.0232,0.0286,0.0587
cf4,1.2000,0.0101,0.0301,0.0655
cf4,1.3000,-0.0023,0.0305,0.0699
cf4,1.4000,-0.0121,0.0302,0.0726
cf4,1.5000,-0.0169,0.0294,0.0740
cf4,1.6000,-0.0142,0.0281,0.0744
cf4,1.7000,-0.0006,0.0263,0.0733
cf4,1.8000,0.0276,0.0231,0.0688
cf4,1.9000,0.0311,0.0186,0.0569
cf4,2.0000,0.0065,0.0117,0.0360
cf4,2.1000,0.0010,-0.0000,0.0016
cf4,2.2000,-0.0282,-0.0129,-0.0359
cf4,2.3000,-0.0033,-0.0202,-0.0591
cf4,2.4000,0.0106,-0.0243,-0.0725
cf4,2.5000,0.0160,-0.0268,-0.0791
cf4,2.6000,0.0150,-0.0281,-0.0808
cf4,2.7000,0.0096,-0.0285,-0.0790
cf4,2.8000,0.0017,-0.0282,-0.0746
cf4,2.9000,-0.0073,-0.0272,-0.0682
cf4,3.0000,-0.0160,-0.0255,-0.0600
cf4,3.1000,-0.0234,-0.0232,-0.0502
cf4,3.2000,-0.0284,-0.0201,-0.0387
cf4,3.3000,-0.0303,-0.0162,-0.0251
cf4,3.4000,-0.0282,-0.0110,-0.0088
cf4,3.5000,-0.0213,-0.0035,0.0112
cf4,3.6000,-0.0093,0.0079,0.0363
cf4,3.7000,0.0083,0.0267,0.0687
cf4,3.8000,0.0313,0.0587,0.1111
cf4,3.9000,-0.0000,-0.0000,0.0000
