drone_id,t,u1,u2,u3
cf3,2.9000,-0.0136,-0.0345,0.0150
cf3,3.0000,-0.0195,-0.0321,0.0122
cf3,3.1000,-0.0250,-0.0293,0.0103
cf3,3.2000,-0.0302,-0.0262,0.0092
cf3,3.3000,-0.0346,-0.0228,0.0082
cf3,3.4000,-0.0368,-0.0193,0.0069
cf3,3.5000,-0.0343,-0.0152,0.0041
cf3,3.6000,-0.0218,-0.0075,-0.0028
cf3,3.7000,0.0099,0.0221,-0.0192
cf3,3.8000,0.0766,0.1683,-0.0567
cf3,3.9000,-0.0000,0.0000,0.0000
cf4,0.0000,-0.1500,-0.2582,0.0453
cf4,0.1000,-0.0911,-0.0528,0.0290
cf4,0.2000,0.0119,-0.0085,0.0200
cf4,0.3000,0.0610,0.0070,0.0117
cf4,0.4000,0.0798,0.0184,0.0031
cf4,0.5000,0.0822,0.0290,-0.0056
cf4,0.6000,0.0758,0.0388,-0.0138
cf4,0.7000,0.0647,0.0473,-0.0214
cf4,0.8000,0.0511,0.0542,-0.0287
cf4,0.9000,0.0359,0.0594,-0.0360
cf4,1.0000,0.0201,0.0626,-0.0431
cf4,1.1000,0.0044,0.0640,-0.0494
cf4,1.2000,-0.0092,0.0639,-0.0526
cf4,1.3000,-0.0171,0.0626,-0.0473
cf4,1.4000,-0.0123,0.0597,-0.0229
cf4,1.5000,0.0175,0.0470,0.0414
cf4,1.6000,-0.0719,0.0333,0.0691
cf4,1.7000,-0.0720,0.0205,0.0648
cf4,1.8000,-0.0559,-0.0123,0.0466
cf4,1.9000,-0.1500,-0.0249,0.0203
cf4,2.0000,-0.0749,-0.0141,-0.0010
cf4,2.1000,-0.0390,-0.0045,-0.0152
cf4,2.2000,-0.0172,0.0010,-0.0233
cf4,2.3000,-0.0005,0.0027,-0.0265
cf4,2.4000,0.0000,0.0009,-0.0250
cf4,2.5000,0.0855,-0.0143,-0.0157
cf4,2.6000,0.1192,-0.0362,-0.0017
cf4,2.7000,0.1165,-0.0580,0.0126
cf4,2.8000,0.0923,-0.0750,0.0242
cf4,2.9000,0.0560,-0.0850,0.0311
cf4,3.0000,0.0145,-0.0869,0.0329
cf4,3.1000,-0.0270,-0.0810,0.0299
cf4,3.2000,-0.0640,-0.0685,0.0228
cf4,3.3000,-0.0921,-0.0512,0.0131
cf4,3.4000,-0.1058,-0.0318,0.0024
cf4,3.5000,-0.0969,-0.0137,-0.0073
cf4,3.6000,-0.0516,0.0031,-0.0148
cf4,3.7000,0.0555,0.0423,-0.0229
cf4,3.8000,0.1500,0.2587,-0.0454
cf4,3.9000,-0.0000,0.0000,-0.0000
