drone_id,t,u1,u2,u3
cf3,2.9000,-0.0151,-0.0183,0.0448
cf3,3.0000,-0.0256,-0.0168,0.0370
cf3,3.1000,-0.0343,-0.0149,0.0296
cf3,3.2000,-0.0411,-0.0128,0.0225
cf3,3.3000,-0.0457,-0.0105,0.0157
cf3,3.4000,-0.0466,-0.0083,0.0086
cf3,3.5000,-0.0407,-0.0060,-0.0004
cf3,3.6000,-0.0219,-0.0027,-0.0164
cf3,3.7000,0.0205,0.0094,-0.0530
cf3,3.8000,0.1043,0.0706,-0.1421
cf3,3.9000,-0.0000,0.0000,0.0000
cf4,0.0000,-0.1500,-0.1228,-0.0790
cf4,0.1000,-0.1064,-0.0262,-0.0666
cf4,0.2000,-0.0000,-0.0066,-0.0682
cf4,0.3000,0.0000,-0.0027,-0.0735
cf4,0.4000,0.0113,-0.0003,-0.0680
cf4,0.5000,0.0852,0.0067,-0.0344
cf4,0.6000,0.1164,0.0165,0.0184
cf4,0.7000,0.1140,0.0264,0.0734
cf4,0.8000,0.0852,0.0338,0.1137
cf4,0.9000,0.0391,0.0373,0.1275
cf4,1.0000,-0.0128,0.0363,0.1106
cf4,1.1000,-0.0582,0.0313,0.0678
cf4,1.2000,-0.0859,0.0239,0.0120
cf4,1.3000,-0.0874,0.0165,-0.0374
cf4,1.4000,-0.0573,0.0120,-0.0580
cf4,1.5000,0.0102,0.0133,-0.0322
cf4,1.6000,0.0903,0.0202,0.0386
cf4,1.7000,0.1033,0.0276,0.1233
cf4,1.8000,0.1493,0.0286,0.1836
cf4,1.9000,-0.0007,0.0214,0.1702
cf4,2.0000,-0.0943,0.0018,0.0514
cf4,2.1000,-0.1500,-0.0154,-0.0623
cf4,2.2000,-0.1429,-0.0109,-0.0635
cf4,2.3000,0.0155,-0.0112,-0.0528
cf4,2.4000,0.0799,-0.0158,-0.0547
cf4,2.5000,0.0949,-0.0219,-0.0672
cf4,2.6000,0.0840,-0.0273,-0.0824
cf4,2.7000,0.0602,-0.0311,-0.0937
cf4,2.8000,0.0307,-0.0328,-0.0975
cf4,2.9000,0.0003,-0.0323,-0.0927
cf4,3.0000,-0.0279,-0.0300,-0.0801
cf4,3.1000,-0.0517,-0.0261,-0.0614
cf4,3.2000,-0.0693,-0.0212,-0.0390
cf4,3.3000,-0.0794,-0.0156,-0.0154
cf4,3.4000,-0.0798,-0.0102,0.0064
cf4,3.5000,-0.0669,-0.0053,0.0249
cf4,3.6000,-0.0339,-0.0001,0.0420
cf4,3.7000,0.0326,0.0154,0.0696
cf4,3.8000,0.1500,0.0963,0.1437
cf4,3.9000,-0.0000,0.0000,-0.0000
